"filename", "language", "CSS", "JavaScript", "JSON", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\README-template.md", "Markdown", 0, 0, 0, 0, 82, 0, 0, 39, 121
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\README.md", "Markdown", 0, 0, 0, 0, 62, 0, 0, 42, 104
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\package-lock.json", "JSON", 0, 0, 12025, 0, 0, 0, 0, 1, 12026
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\package.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 1, 41
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\public\assets\checkout\icon-cash-on-delivery.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\public\assets\checkout\icon-order-confirmation.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\public\assets\home\desktop\pattern-circles.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\public\assets\shared\desktop\icon-arrow-right.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\public\assets\shared\desktop\icon-cart.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\public\assets\shared\desktop\icon-facebook.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\public\assets\shared\desktop\icon-instagram.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\public\assets\shared\desktop\icon-twitter.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\public\assets\shared\desktop\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\public\assets\shared\tablet\icon-hamburger.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\public\index.html", "HTML", 0, 0, 0, 0, 0, 23, 23, 1, 47
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\App.js", "JavaScript", 0, 36, 0, 0, 0, 0, 1, 4, 41
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\Training.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 2, 56
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\UI\backdrop\Backdrop.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\UI\backdrop\Backdrop.module.css", "CSS", 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\assets\checkout\icon-cash-on-delivery.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\assets\checkout\icon-order-confirmation.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\assets\home\desktop\pattern-circles.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\assets\shared\desktop\icon-arrow-right.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\assets\shared\desktop\icon-cart.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\assets\shared\desktop\icon-facebook.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\assets\shared\desktop\icon-instagram.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\assets\shared\desktop\icon-twitter.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\assets\shared\desktop\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\assets\shared\tablet\icon-hamburger.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\alternatifs\Alternatifs.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 4, 86
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\alternatifs\Alternatifs.module.css", "CSS", 134, 0, 0, 0, 0, 0, 3, 4, 141
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\bestGear\BestGear.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 3, 46
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\bestGear\BestGear.module.css", "CSS", 129, 0, 0, 0, 0, 0, 1, 3, 133
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\cart\Cart.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 3, 59
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\cart\Cart.module.css", "CSS", 155, 0, 0, 0, 0, 0, 4, 14, 173
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\earphones\Earphones.module.css", "CSS", 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\featuresIncludes\FeaturesIncludes.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\featuresIncludes\FeaturesIncludes.module.css", "CSS", 71, 0, 0, 0, 0, 0, 2, 3, 76
